epoch_number,training_loss,validation_loss,train_runtime_min,validation_runtime_min,total_epoch_runtime_min,top1_accuracy,top3_accuracy,top5_accuracy,precision,recall,f1_score,support,false_negative_rate,false_positive_rate,batch_size,learning_rate,pretrained,finetuning_all_layers,finetuning_last_layer,class_selection,samples_per_class,transformations
0,0.17393605411052704,0.10628487169742584,26.83,10.13,36.96,0.9258490566037736,0.9967924528301887,1.0,[0.89967285 0.92362345 0.96334586 0.92912621 0.91143594],[0.75068244 0.98765432 0.99129594 0.92553191 0.98148148],[0.81845238 0.95456631 0.97712107 0.92732558 0.94516273],[1099 1053 1034 1034 1080],[0.24931756 0.01234568 0.00870406 0.07446809 0.01851852],[0.02189955 0.02024959 0.00914205 0.01711205 0.02440758],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
1,0.10138101130723953,0.09536797553300858,30.05,10.17,40.22,0.9322641509433962,0.9971698113207547,1.0,[0.92575406 0.94785847 0.96116505 0.91741472 0.90778872],[0.74370923 0.99803922 0.99452055 0.95158287 0.97687861],[0.8248062  0.97230181 0.97755835 0.93418647 0.94106729],[1073 1020 1095 1074 1038],[0.25629077 0.00196078 0.00547945 0.04841713 0.02312139],[0.01514076 0.01308411 0.01046373 0.02177    0.02416706],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
2,0.09242184460163116,0.09485580027103424,31.11,10.23,41.34,0.930566037735849,0.9964150943396226,1.0,[0.93136095 0.91768827 0.96797153 0.9086758  0.92687386],[0.73005566 1.         0.99908173 0.95765159 0.96940727],[0.81851274 0.95707763 0.98328061 0.93252109 0.94766355],[1078 1048 1089 1039 1046],[0.26994434 0.         0.00091827 0.04234841 0.03059273],[0.01373757 0.02210724 0.00854904 0.02346867 0.01880583],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
3,0.0890614315867424,0.0867428183555603,30.23,10.29,40.52,0.9377358490566038,0.9990566037735849,1.0,[0.96463415 0.95536562 0.95889187 0.89800995 0.92286751],[0.74412041 0.98918387 0.98894009 0.99175824 0.97507191],[0.8401487  0.97198068 0.97368421 0.94255875 0.94825175],[1063 1017 1085 1092 1043],[0.25587959 0.01081613 0.01105991 0.00824176 0.02492809],[0.00684447 0.01097362 0.0109134  0.02923004 0.01996711],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
4,0.0859363004565239,0.08455729484558105,29.68,10.16,39.85,0.9371698113207547,0.9994339622641509,1.0,[0.89364035 0.9374457  0.95814377 0.94263862 0.94688645],[0.78516378 0.99538745 0.9962157  0.9417383  0.96275605],[0.83589744 0.9655481  0.97680891 0.94218825 0.95475531],[1038 1084 1057 1047 1074],[0.21483622 0.00461255 0.0037843  0.0582617  0.03724395],[0.02275927 0.0170778  0.01084139 0.01410769 0.01372456],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
5,0.08530517667531967,0.08999171108007431,29.94,9.93,39.86,0.9313207547169812,0.9988679245283019,1.0,[0.85587364 0.93738819 0.96441281 0.97014925 0.92773261],[0.81484962 0.99809524 0.99815838 0.86584206 0.97902765],[0.83485797 0.96678967 0.98099548 0.91503268 0.95269017],[1064 1050 1086 1051 1049],[0.18515038 0.00190476 0.00184162 0.13415794 0.02097235],[0.03446648 0.01647059 0.00949217 0.00658979 0.0188191 ],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
6,0.08411688357591629,0.0778636634349823,29.33,10.04,39.37,0.940566037735849,0.9990566037735849,1.0,[0.91584699 0.94942325 0.98089172 0.93695441 0.91578014],[0.7883349  0.99906629 0.99446494 0.93786408 0.98193916],[0.84732053 0.97361237 0.9876317  0.93740902 0.94770642],[1063 1071 1084 1030 1052],[0.2116651  0.00093371 0.00553506 0.06213592 0.01806084],[0.01817324 0.01347836 0.00498102 0.01522248 0.02236347],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
7,0.08210825175046921,0.0849340558052063,30.44,10.39,40.84,0.9424528301886792,0.999245283018868,1.0,[0.91518325 0.95306859 0.97474275 0.93575419 0.93053016],[0.80851064 0.98232558 0.98767773 0.94990548 0.98739088],[0.85854617 0.96747595 0.98116761 0.94277674 0.95811765],[1081 1075 1055 1058 1031],[0.19148936 0.01767442 0.01232227 0.05009452 0.01260912],[0.01919886 0.01230769 0.00636042 0.01626591 0.01780276],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
8,0.08330881595611572,0.08530772477388382,30.86,10.18,41.04,0.939811320754717,0.9990566037735849,1.0,[0.9498861  0.94973545 0.96880734 0.9235023  0.90925427],[0.76164384 1.         0.99528746 0.96253602 0.98635478],[0.84541308 0.97421981 0.9818689  0.94261524 0.94623656],[1095 1077 1061 1041 1026],[0.23835616 0.         0.00471254 0.03746398 0.01364522],[0.01046373 0.01349751 0.00802076 0.01948814 0.02363126],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
9,0.0828966572880745,0.07817911356687546,30.51,10.11,40.62,0.9462264150943396,0.9996226415094339,1.0,[0.93729373 0.93870082 0.96791444 0.94112236 0.94398531],[0.79775281 1.         0.99724518 0.95251397 0.98561841],[0.86191199 0.96838131 0.98236092 0.9467839  0.96435272],[1068 1026 1089 1074 1043],[0.20224719 0.         0.00275482 0.04748603 0.01438159],[0.01346881 0.01567618 0.00854904 0.01514434 0.01432934],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
