epoch_number,training_loss,validation_loss,train_runtime_min,validation_runtime_min,total_epoch_runtime_min,top1_accuracy,top3_accuracy,top5_accuracy,precision,recall,f1_score,support,false_negative_rate,false_positive_rate,batch_size,learning_rate,pretrained,finetuning_all_layers,finetuning_last_layer,class_selection,samples_per_class,transformations
10,0.08039916306734085,0.09036678820848465,30.39,10.04,40.43,0.9409433962264151,0.9986792452830189,1.0,[0.94038245 0.92831216 0.96309631 0.94885845 0.92384406],[0.77623027 1.         1.         0.95408632 0.97886647],[0.85045778 0.96282353 0.98120128 0.9514652  0.9505597 ],[1077 1023 1070 1089 1041],[0.22376973 0.         0.         0.04591368 0.02113353],[0.01255032 0.01847089 0.00969267 0.0132985  0.01972294],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
11,0.07766292989253998,0.06913886219263077,30.01,9.96,39.97,0.950377358490566,0.9996226415094339,1.0,[0.89852217 0.95829472 0.97610294 0.96194101 0.95407685],[0.85714286 0.99518768 0.99905927 0.92752294 0.97509579],[0.87734488 0.97639282 0.9874477  0.9444185  0.96447181],[1064 1039 1063 1090 1044],[0.14285714 0.00481232 0.00094073 0.07247706 0.02490421],[0.02431539 0.0105609  0.00613642 0.00950119 0.01151316],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
12,0.07593764364719391,0.07327591627836227,30.78,10.19,40.97,0.9494339622641509,1.0,1.0,[0.94653015 0.95929204 0.97765363 0.93315266 0.93063063],[0.79769895 0.99449541 0.98963242 0.97177799 0.99041227],[0.86576483 0.97657658 0.98360656 0.95207373 0.95959127],[1043 1090 1061 1063 1043],[0.20230105 0.00550459 0.01036758 0.02822201 0.00958773],[0.01104064 0.01092637 0.00566171 0.01746519 0.01808786],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
13,0.07645495980978012,0.08886225521564484,30.63,10.11,40.74,0.9392452830188679,0.999811320754717,1.0,[0.95454545 0.94542091 0.97661366 0.93462898 0.89224138],[0.75974026 0.99610136 0.98490566 0.96886447 0.99137931],[0.84607438 0.97009967 0.98074213 0.95143885 0.93920145],[1078 1026 1060 1092 1044],[0.24025974 0.00389864 0.01509434 0.03113553 0.00862069],[0.00923733 0.0138044  0.00589623 0.01758555 0.0293703 ],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
14,0.0785815417766571,0.08184178918600082,30.34,10.27,40.6,0.9452830188679245,0.9986792452830189,1.0,[0.96092796 0.93577982 0.97702206 0.92658228 0.93202147],[0.75891996 1.         0.99718574 0.976      0.9904943 ],[0.84806034 0.96682464 0.98700093 0.95064935 0.96036866],[1037 1020 1066 1125 1052],[0.24108004 0.         0.00281426 0.024      0.0095057 ],[0.00750645 0.01635514 0.00590458 0.02083832 0.01789077],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
15,0.07604803889989853,0.06934361159801483,30.71,10.06,40.77,0.9494339622641509,0.9996226415094339,1.0,[0.94848824 0.95506608 0.97657658 0.93820225 0.92778793],[0.80056711 0.99176578 1.         0.97187197 0.98162476],[0.86827268 0.97307002 0.9881495  0.95474035 0.95394737],[1058 1093 1084 1031 1034],[0.19943289 0.00823422 0.         0.02812803 0.01837524],[0.01084394 0.01212265 0.00616698 0.0154603  0.01851852],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
16,0.081065833568573,0.07969580590724945,30.58,9.89,40.47,0.9426415094339623,0.999811320754717,1.0,[0.85188679 0.96605505 0.98136646 0.97505198 0.93873704],[0.86577181 0.99152542 0.99819495 0.87255814 0.98418972],[0.85877318 0.97862454 0.98970917 0.9209622  0.96092619],[1043 1062 1108 1075 1012],[0.13422819 0.00847458 0.00180505 0.12744186 0.01581028],[0.03688043 0.00873053 0.00500954 0.00568047 0.01515858],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
17,0.07205817103385925,0.09202994406223297,30.26,10.11,40.37,0.930377358490566,0.999811320754717,1.0,[0.8014827  0.97414685 0.97250229 0.96262626 0.96531792],[0.88939671 0.92807882 0.9888164  0.89315839 0.95337774],[0.84315425 0.95055499 0.9805915  0.92659212 0.95931067],[1094 1015 1073 1067 1051],[0.11060329 0.07192118 0.0111836  0.10684161 0.04662226],[0.0572991  0.00583431 0.00709723 0.00874085 0.00847258],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
18,0.07840114086866379,0.07636495679616928,31.01,10.22,41.23,0.9454716981132075,1.0,1.0,[0.94117647 0.95275591 0.97365945 0.93744076 0.92239072],[0.79266055 1.         1.         0.95371263 0.98570067],[0.86055777 0.97580645 0.98665396 0.94550669 0.95299539],[1090 1089 1035 1037 1049],[0.20733945 0.         0.         0.04628737 0.01429933],[0.0128266  0.01282356 0.00656506 0.01548205 0.02046577],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
19,0.07426295429468155,0.07795891165733337,30.42,10.28,40.71,0.9475471698113207,0.9994339622641509,1.0,[0.98046398 0.94935543 0.97686833 0.91762622 0.92294221],[0.75826251 1.         0.99818182 0.98572788 0.99527856],[0.85516507 0.97401984 0.98741007 0.95045872 0.95774648],[1059 1031 1100 1051 1059],[0.24173749 0.         0.00181818 0.01427212 0.00472144],[0.0037727  0.01288358 0.00619048 0.0218875  0.02074982],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
20,0.0805603489279747,0.06270948797464371,30.73,10.16,40.89,0.9490566037735849,1.0,1.0,[0.89696312 0.9519573  0.97585887 0.95785441 0.95498676],[0.83032129 0.9972041  0.9971537  0.94428706 0.96779964],[0.86235662 0.97405553 0.98639137 0.95102235 0.96135051],[ 996 1073 1054 1059 1118],[0.16967871 0.0027959  0.0028463  0.05571294 0.03220036],[0.02207249 0.01277502 0.00612341 0.01037491 0.01219512],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
21,0.07340598851442337,0.09295400232076645,29.83,10.33,40.16,0.940566037735849,0.999245283018868,1.0,[0.97419355 0.97037037 0.98054819 0.8820034  0.91021127],[0.72596154 0.98867925 0.99819982 0.99330784 0.99137105],[0.83195592 0.97943925 0.98929527 0.93435252 0.9490592 ],[1040 1060 1111 1046 1043],[0.27403846 0.01132075 0.00180018 0.00669216 0.00862895],[0.00469484 0.00754717 0.00525185 0.03267513 0.02396054],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
22,0.07565908133983612,0.082732193171978,29.82,10.03,39.85,0.940188679245283,1.0,1.0,[0.85874649 0.96880907 0.96663661 0.95546951 0.95150339],[0.85395349 0.97992352 0.9981378  0.92502343 0.94508671],[0.85634328 0.9743346  0.98213468 0.94       0.9482842 ],[1075 1046 1074 1067 1038],[0.14604651 0.02007648 0.0018622  0.07497657 0.05491329],[0.03573964 0.0077574  0.00875532 0.010867   0.01173158],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
23,0.07517223060131073,0.06943489611148834,30.68,10.01,40.69,0.9543396226415094,0.999811320754717,1.0,[0.96118721 0.95963303 0.97744361 0.93979058 0.93683274],[0.80806142 0.99714013 0.99903939 0.97642792 0.98873239],[0.87799791 0.97802712 0.98812352 0.957759   0.96208314],[1042 1049 1041 1103 1065],[0.19193858 0.00285987 0.00096061 0.02357208 0.01126761],[0.00798497 0.01035051 0.00563513 0.01644031 0.01676505],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
24,0.07193644344806671,0.06392480432987213,30.11,10.2,40.31,0.9543396226415094,1.0,1.0,[0.92113246 0.97926484 0.97486535 0.94553991 0.94771242],[0.85299625 0.98111426 0.99816176 0.95904762 0.98067633],[0.88575596 0.98018868 0.98637602 0.95224586 0.96391263],[1068 1059 1088 1050 1035],[0.14700375 0.01888574 0.00183824 0.04095238 0.01932367],[0.018431   0.00518746 0.00664767 0.01364706 0.01313013],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
25,0.0727153941988945,0.0711800754070282,30.19,10.08,40.27,0.949622641509434,1.0,1.0,[0.94831461 0.95989061 0.96969697 0.91936897 0.95198523],[0.79924242 0.99339623 0.99905393 0.98220974 0.97355996],[0.86742035 0.97635605 0.98415657 0.94975102 0.96265173],[1056 1060 1057 1068 1059],[0.20075758 0.00660377 0.00094607 0.01779026 0.02644004],[0.01083883 0.01037736 0.00777752 0.02173913 0.01226126],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
26,0.0740971490740776,0.07644984126091003,30.2,10.11,40.31,0.9430188679245283,0.999811320754717,1.0,[0.95493301 0.93315972 0.97571942 0.90551181 0.9505597 ],[0.75239923 1.         0.99724265 0.97733711 0.98359073],[0.84165325 0.96542434 0.98636364 0.9400545  0.96679317],[1042 1075 1088 1059 1036],[0.24760077 0.         0.00275735 0.02266289 0.01640927],[0.00868953 0.01822485 0.00641026 0.02546569 0.01242964],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
27,0.07389757037162781,0.07730817049741745,30.42,9.77,40.19,0.9445283018867925,1.0,1.0,[0.94938133 0.94995532 0.97687327 0.93434824 0.91465517],[0.78003697 0.99906015 0.99716714 0.95804878 0.99158879],[0.85641806 0.97388914 0.98691589 0.9460501  0.95156951],[1082 1064 1059 1025 1070],[0.21996303 0.00093985 0.00283286 0.04195122 0.00841121],[0.01066856 0.01322002 0.00589484 0.01614035 0.02340426],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
28,0.07002624869346619,0.07295627146959305,30.74,10.14,40.87,0.9475471698113207,1.0,1.0,[0.95217391 0.95413669 0.97543221 0.92969473 0.92647059],[0.79276018 0.99811853 0.9981378  0.96264368 0.99408284],[0.86518519 0.97563218 0.98665439 0.94588235 0.95908658],[1105 1063 1074 1044 1014],[0.20723982 0.00188147 0.0018622  0.03735632 0.00591716],[0.01048868 0.01203682 0.00638902 0.01785714 0.01866542],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
29,0.07277186959981918,0.07334739714860916,30.4,10.23,40.62,0.9507547169811321,1.0,1.0,[0.92608237 0.94123134 0.98966165 0.95202258 0.94280763],[0.82813975 0.99802176 0.99245994 0.95112782 0.98461538],[0.87437687 0.96879501 0.99105882 0.95157499 0.96325808],[1059 1011 1061 1064 1105],[0.17186025 0.00197824 0.00754006 0.04887218 0.01538462],[0.01650554 0.01468874 0.00259495 0.01203966 0.01573302],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
30,0.07052205502986908,0.06775487959384918,30.83,10.2,41.03,0.9490566037735849,1.0,1.0,[0.96658986 0.96125461 0.97525206 0.91528384 0.93255396],[0.77973978 0.99617591 1.         0.97852474 0.99424736],[0.86316872 0.97840376 0.987471   0.94584838 0.96241299],[1076 1046 1064 1071 1043],[0.22026022 0.00382409 0.         0.02147526 0.00575264],[0.00686553 0.00987306 0.00637394 0.02293686 0.01761804],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
31,0.07692598551511765,0.07765866816043854,30.7,10.22,40.92,0.9454716981132075,0.9996226415094339,1.0,[0.89324192 0.95573622 0.9692029  0.95294118 0.95324427],[0.84210526 0.99717248 0.99813433 0.93731919 0.95415473],[0.86692015 0.97601476 0.98345588 0.94506563 0.95369928],[1083 1061 1072 1037 1047],[0.15789474 0.00282752 0.00186567 0.06268081 0.04584527],[0.02584776 0.01155933 0.00804163 0.01125968 0.01152128],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
32,0.0797821581363678,0.06418418139219284,30.15,9.94,40.09,0.9530188679245283,1.0,1.0,[0.92474227 0.97097378 0.9704797  0.94886364 0.94741533],[0.84304511 0.99139579 0.9971564  0.95337774 0.98062731],[0.8820059  0.98107852 0.98363721 0.95111533 0.96373527],[1064 1046 1055 1051 1084],[0.15695489 0.00860421 0.0028436  0.04662226 0.01937269],[0.01723324 0.00728726 0.00753828 0.01270887 0.01399431],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
33,0.07390891760587692,0.07520110160112381,29.79,10.29,40.07,0.9439622641509434,1.0,1.0,[0.86568627 0.96610169 0.98403756 0.97597598 0.92807626],[0.85479187 0.97621313 0.99336493 0.89861751 0.99535316],[0.86020458 0.97113109 0.98867925 0.93570058 0.96053812],[1033 1051 1055 1085 1076],[0.14520813 0.02378687 0.00663507 0.10138249 0.00464684],[0.03210687 0.00847258 0.00400471 0.00569395 0.01964962],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
34,0.07327567785978317,0.08317580819129944,30.13,9.9,40.03,0.9362264150943396,1.0,1.0,[0.81715771 0.99057592 0.97000937 0.95952162 0.95949855],[0.88878417 0.89923954 0.99807136 0.95775941 0.93779453],[0.85146727 0.94270055 0.9838403  0.95863971 0.9485224 ],[1061 1052 1037 1089 1061],[0.11121583 0.10076046 0.00192864 0.04224059 0.06220547],[0.04977589 0.00211864 0.00750645 0.01044882 0.009908  ],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
35,0.07460840046405792,0.07691239565610886,30.73,9.94,40.67,0.9484905660377358,1.0,1.0,[0.96441281 0.95589559 0.9791099  0.91970803 0.92776327],[0.77207977 0.99438202 0.99907322 0.98245614 0.99255121],[0.85759494 0.97475906 0.98899083 0.95004713 0.95906433],[1053 1068 1079 1026 1074],[0.22792023 0.00561798 0.00092678 0.01754386 0.00744879],[0.00706381 0.01157845 0.00544895 0.02058961 0.01964032],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
36,0.07243385165929794,0.06790309399366379,30.35,9.99,40.34,0.9492452830188679,1.0,1.0,[0.95560748 0.95403377 0.97467249 0.91587983 0.94850187],[0.78805395 0.99510763 0.99465241 0.98704903 0.97685632],[0.86378036 0.97413793 0.98456109 0.95013357 0.96247031],[1038 1022 1122 1081 1037],[0.21194605 0.00489237 0.00534759 0.01295097 0.02314368],[0.008916   0.01145395 0.00694112 0.02322825 0.01290171],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
37,0.07254387438297272,0.11831926554441452,30.06,10.31,40.37,0.9237735849056604,0.999811320754717,1.0,[0.75464396 0.97180451 0.99188641 0.98590022 0.96525097],[0.92242195 0.9782403  0.94401544 0.82862352 0.94966762],[0.83014049 0.97501179 0.96735905 0.90044577 0.95739588],[1057 1057 1036 1097 1053],[0.07757805 0.0217597  0.05598456 0.17137648 0.05033238],[0.07471129 0.00707047 0.00187617 0.00309303 0.00847657],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
38,0.07357367873191833,0.06368381530046463,30.46,10.09,40.55,0.9524528301886792,0.999811320754717,1.0,[0.94420601 0.96085741 0.98099548 0.94053065 0.93436645],[0.81784387 0.99039385 0.99724011 0.97256386 0.98652551],[0.87649402 0.97540208 0.98905109 0.95627907 0.95973783],[1076 1041 1087 1057 1039],[0.18215613 0.00960615 0.00275989 0.02743614 0.01347449],[0.01231061 0.00986147 0.00498457 0.01531935 0.01689744],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
39,0.07449304312467575,0.10288353264331818,29.72,10.38,40.11,0.9441509433962264,1.0,1.0,[0.82711556 0.97344322 0.99706458 0.96857143 0.96046287],[0.89822134 0.99160448 0.95144725 0.90966011 0.969815  ],[0.86120322 0.98243993 0.97372193 0.93819188 0.96511628],[1012 1072 1071 1118 1027],[0.10177866 0.00839552 0.04855275 0.09033989 0.030185  ],[0.0443097  0.00685904 0.00070939 0.00789096 0.00959513],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
40,0.0749131366610527,0.06036348268389702,30.36,10.03,40.39,0.9560377358490566,0.999811320754717,1.0,[0.96216216 0.96521739 0.97866149 0.93310754 0.94592199],[0.8202765  0.98813056 0.99802176 0.98042705 0.99812909],[0.88557214 0.97653959 0.98824682 0.95618221 0.97132453],[1085 1011 1011 1124 1069],[0.1797235  0.01186944 0.00197824 0.01957295 0.00187091],[0.00830368 0.00839356 0.0051294  0.01891762 0.0144174 ],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
41,0.07707563042640686,0.09226109832525253,30.64,10.16,40.8,0.9337735849056604,0.9996226415094339,1.0,[0.80155306 0.96539162 0.9719457  0.98       0.9672447 ],[0.8915547  0.98972923 0.99814126 0.84160305 0.94449671],[0.84416174 0.97740894 0.98486933 0.90554415 0.95573536],[1042 1071 1076 1048 1063],[0.1084453  0.01027077 0.00185874 0.15839695 0.05550329],[0.05401597 0.00898558 0.00733902 0.0042333  0.00802455],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
42,0.07332611083984375,0.06690093874931335,30.57,10.22,40.79,0.9492452830188679,1.0,1.0,[0.94251627 0.95022624 0.96908127 0.94200187 0.94029851],[0.81139122 0.99809886 0.99908925 0.96826923 0.97016362],[0.87205218 0.97357441 0.9838565  0.95495495 0.95499763],[1071 1052 1098 1040 1039],[0.18860878 0.00190114 0.00091075 0.03173077 0.02983638],[0.01253251 0.01294727 0.00832937 0.01455399 0.01501995],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
43,0.07086591422557831,0.06002210080623627,30.63,10.19,40.81,0.9560377358490566,1.0,1.0,[0.93215339 0.96286232 0.97838346 0.95014382 0.95522388],[0.86103542 0.99718574 0.99237369 0.95564127 0.97803247],[0.89518414 0.9797235  0.98532892 0.95288462 0.96649363],[1101 1066 1049 1037 1047],[0.13896458 0.00281426 0.00762631 0.04435873 0.02196753],[0.01643248 0.00968351 0.00541049 0.01219798 0.01128615],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
44,0.07257550209760666,0.07142951339483261,30.44,10.05,40.49,0.9486792452830188,1.0,1.0,[0.96930342 0.94960904 0.98053753 0.92173913 0.92823858],[0.77746212 1.         0.99529633 0.98148148 0.98809524],[0.86284813 0.9741533  0.98786181 0.95067265 0.9572321 ],[1056 1093 1063 1080 1008],[0.22253788 0.         0.00470367 0.01851852 0.01190476],[0.0061263  0.01378655 0.00495634 0.02132701 0.01794035],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
45,0.07843326032161713,0.08125987648963928,30.67,9.87,40.53,0.9511320754716981,0.999811320754717,1.0,[0.96511628 0.96143251 0.96438112 0.91426072 0.95483871],[0.7957814  0.99053926 1.         0.98864711 0.97735849],[0.87230688 0.97576887 0.98186763 0.95       0.96596737],[1043 1057 1083 1057 1060],[0.2042186  0.00946074 0.         0.01135289 0.02264151],[0.00704722 0.00989866 0.00948542 0.02309687 0.0115566 ],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
46,0.07175111025571823,0.06210661679506302,30.21,9.96,40.18,0.9545283018867925,0.999811320754717,1.0,[0.93724696 0.97276995 0.97544854 0.94655797 0.9400369 ],[0.84181818 0.99043977 0.99614272 0.96402214 0.98644724],[0.88697318 0.98152534 0.98568702 0.95521024 0.96268304],[1100 1046 1037 1084 1033],[0.15818182 0.00956023 0.00385728 0.03597786 0.01355276],[0.0147619  0.00681711 0.00609899 0.01399431 0.01523318],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
47,0.07189130038022995,0.06521211564540863,30.44,10.16,40.6,0.9539622641509434,1.0,1.0,[0.9498861  0.95169946 0.98007246 0.94232558 0.94488889],[0.81049563 1.         0.99723502 0.9656816  0.99068034],[0.87467226 0.97525206 0.98857926 0.95386064 0.96724295],[1029 1064 1085 1049 1073],[0.18950437 0.         0.00276498 0.0343184  0.00931966],[0.01030204 0.01274788 0.00521945 0.0145848  0.01466761],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
48,0.0731562003493309,0.06677193194627762,30.5,10.26,40.76,0.9526415094339623,1.0,1.0,[0.93599161 0.97270955 0.97344322 0.92559787 0.95545455],[0.83054004 0.97651663 0.99718574 0.98214286 0.97858473],[0.8801184  0.97460938 0.98517146 0.95303238 0.96688132],[1074 1022 1066 1064 1074],[0.16945996 0.02348337 0.00281426 0.01785714 0.02141527],[0.01443445 0.00654511 0.00684932 0.01983003 0.01159489],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
49,0.06931659579277039,0.06957773864269257,30.72,10.21,40.92,0.9526415094339623,1.0,1.0,[0.96980256 0.97037037 0.98434622 0.91716482 0.92831216],[0.78997162 0.99242424 0.99627213 0.99260628 0.99127907],[0.87069864 0.98127341 0.99027327 0.95339547 0.95876289],[1057 1056 1073 1082 1032],[0.21002838 0.00757576 0.00372787 0.00739372 0.00872093],[0.00612774 0.00754006 0.00402176 0.02299668 0.01850984],128,0.01,True,False,True,top_5_categories,5300,transformations_like_literature
