epoch_number,epoch_runtime_min,train_loss,validate_loss,validate_accuracy,validate_runtime_min,batch_size_train,batch_size_validate,learning_rate,pretrained,class_selection,samples_per_class,transformations
0,3.69,0.44129082560539246,0.20961205661296844,0.8117222850678734,2.84,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
1,3.35,0.19528335332870483,0.16798056662082672,0.8554157239819005,2.55,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
2,3.3,0.16743730008602142,0.13599993288516998,0.8980486425339367,2.33,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
3,2.79,0.14433370530605316,0.13322323560714722,0.8971295248868778,2.51,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
4,3.35,0.13187970221042633,0.12675631046295166,0.8985435520361991,2.5,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
5,3.28,0.12618999183177948,0.12394776195287704,0.901725113122172,2.48,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
6,3.26,0.12170082330703735,0.11734367907047272,0.9090780542986425,2.49,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
7,3.26,0.11713188141584396,0.12026186287403107,0.9044117647058824,2.52,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
8,3.3,0.11813374608755112,0.11222051084041595,0.9099971719457014,2.51,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
9,3.27,0.10694944858551025,0.12018772959709167,0.9063207013574661,2.52,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
