epoch_number,epoch_runtime_min,train_loss,validate_loss,validate_accuracy,validate_runtime_min,batch_size_train,batch_size_validate,learning_rate,pretrained,class_selection,samples_per_class,transformations
0,3.5,3.398160696029663,0.5482162237167358,0.792350113122172,2.56,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
1,2.82,0.6574233770370483,0.37568819522857666,0.8645361990950227,2.19,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
2,2.6,0.3279990553855896,0.22509963810443878,0.9034926470588235,2.09,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
3,2.66,0.2657533288002014,0.20777931809425354,0.9058257918552036,2.1,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
4,2.66,0.176484152674675,0.2657140791416168,0.896281108597285,2.04,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
5,2.66,0.21119002997875214,0.18498572707176208,0.8963518099547512,2.1,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
6,2.64,0.25159621238708496,0.20800335705280304,0.9090780542986425,2.06,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
7,2.7,0.25259095430374146,0.49294835329055786,0.8061368778280543,2.07,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
8,2.67,0.40386712551116943,0.28448495268821716,0.9145927601809954,2.05,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
9,2.74,0.24995338916778564,0.24094121158123016,0.903987556561086,2.09,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
