epoch_number,epoch_runtime_min,train_loss,validate_loss,validate_accuracy,validate_runtime_min,batch_size_train,batch_size_validate,learning_rate,pretrained,class_selection,samples_per_class,transformations
0,3.9,0.4714276194572449,0.24234838783740997,0.8420531674208145,2.82,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
1,3.44,0.18978355824947357,0.20822371542453766,0.7953195701357466,2.28,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
2,2.8,0.17074880003929138,0.16201689839363098,0.8682126696832579,2.11,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
3,2.83,0.14880669116973877,0.15501010417938232,0.860506221719457,2.17,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
,,,,,,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
,,,,,,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
,,,,,,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
,,,,,,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
,,,,,,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
,,,,,,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[Resize(size=(1000, 1400), interpolation=PIL.Image.BILINEAR), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
