"","class_ID","class_name","scientific_name","number_of_training_images","num_correct","num_photos_this_spp_at_this_Site_in_test","recall","precision","false_positive_rate","false_negative_rate"
"0","0","Moose","Alces alces","8967","978","996","0.981927710843373","0.985887096774194","0.0141129032258065","0.0180722891566265"
"1","1","Cattle","Bos taurus","7573","834","842","0.990498812351544","0.961937716262976","0.0380622837370242","0.00950118764845606"
"3","3","Canidae","Canidae","9530","965","1059","0.91123701605288","0.930568948891032","0.0694310511089682","0.0887629839471199"
"4","4","Elk","Cervus canadensis","165467","18225","18386","0.991243337321875","0.988984154547428","0.0110158454525722","0.00875666267812466"
"5","5","Mustelidae","Mustelidae","1317","113","147","0.768707482993197","0.843283582089552","0.156716417910448","0.231292517006803"
"6","6","Corvid","Corvidae","71","6","9","0.666666666666667","0.5","0.5","0.333333333333333"
"8","8","Turkey","Meleagris gallopavo","221","20","25","0.8","1","0","0.2"
"10","10","Horse","Equus spp. ","119","11","14","0.785714285714286","0.611111111111111","0.388888888888889","0.214285714285714"
"11","11","Human","Homo sapiens","14076","1472","1563","0.941778630838132","0.958333333333333","0.0416666666666667","0.0582213691618682"
"12","12","Rabbits","Leporidae","12485","1349","1387","0.972602739726027","0.963571428571429","0.0364285714285714","0.0273972602739726"
"13","13","Bobcat","Lynx rufus","247","20","28","0.714285714285714","0.869565217391304","0.130434782608696","0.285714285714286"
"16","16","Rodent","Rodentia","854","84","96","0.875","0.933333333333333","0.0666666666666667","0.125"
"17","17","Mule deer","Odocoileus hemionus","76878","8388","8543","0.981856490694135","0.97750844889873","0.0224915511012702","0.0181435093058645"
"19","19","Raccoon","Procyon lotor","7","1","8","0.125","1","0","0.875"
"20","20","Mountain lion","Puma concolor","516","51","58","0.879310344827586","0.944444444444444","0.0555555555555556","0.120689655172414"
"21","21","Squirrel","Sciurus spp.","3626","377","404","0.933168316831683","0.940149625935162","0.0598503740648379","0.0668316831683168"
"23","23","Fox","Vulpes vulpes and Urocyon Cinereoargenteus","1550","128","173","0.739884393063584","0.864864864864865","0.135135135135135","0.260115606936416"
"24","24","Black Bear","Ursus americanus","4607","471","512","0.919921875","0.936381709741551","0.0636182902584493","0.080078125"
"26","26","Bird","Aves","2758","294","307","0.957654723127036","0.942307692307692","0.0576923076923077","0.0423452768729642"
"20.1","",NA,"","310869","33787","34557","0.977717973203692","0.977717973203692","",""
