"","class_ID","class_name","scientific_name","number_of_training_images","num_correct","num_photos_this_spp_at_this_Site_in_test","recall","precision","false_positive_rate","false_negative_rate"
"1","1","Cattle","Bos taurus","1348659","148246","149852","0.989282758988869","0.992083196702113","0.00791680329788729","0.010717241011131"
"3","3","Canidae","Canidae","5132","502","571","0.879159369527145","0.916058394160584","0.0839416058394161","0.120840630472855"
"5","5","Mustelidae","Mustelidae","501","42","56","0.75","0.933333333333333","0.0666666666666667","0.25"
"6","6","Corvid","Corvidae","166","17","19","0.894736842105263","1","0","0.105263157894737"
"7","7","Armadillo","Dasypus novemcinctus","8870","880","986","0.892494929006085","0.928270042194093","0.0717299578059072","0.107505070993915"
"8","8","Turkey","Meleagris gallopavo","2377","253","265","0.954716981132075","0.937037037037037","0.062962962962963","0.0452830188679245"
"9","9","Opossum","Didelphis virginiana","1366","125","152","0.822368421052632","0.880281690140845","0.119718309859155","0.177631578947368"
"10","10","Horse","Equus spp. ","2398","254","267","0.951310861423221","0.962121212121212","0.0378787878787879","0.048689138576779"
"11","11","Human","Homo sapiens","16022","1642","1781","0.921953958450309","0.937749857224443","0.0622501427755568","0.0780460415496912"
"12","12","Rabbits","Leporidae","919","83","103","0.805825242718447","0.988095238095238","0.0119047619047619","0.194174757281553"
"13","13","Bobcat","Lynx rufus","6693","643","744","0.864247311827957","0.941434846266471","0.0585651537335286","0.135752688172043"
"18","18","White-tailed deer","Odocoileus virginianus","75662","8119","8408","0.965627973358706","0.97431897275891","0.0256810272410896","0.034372026641294"
"19","19","Raccoon","Procyon lotor","33959","3426","3774","0.907790143084261","0.92770105605199","0.0722989439480097","0.0922098569157393"
"21","21","Squirrel","Sciurus spp.","220","17","25","0.68","0.894736842105263","0.105263157894737","0.32"
"22","22","Wild pig","Sus scrofa","70811","7418","7869","0.942686491294955","0.950660002563117","0.0493399974368832","0.0573135087050451"
"24","24","Black Bear","Ursus americanus","171","14","20","0.7","0.538461538461538","0.461538461538462","0.3"
"25","25","Vehicle","","10447","1100","1161","0.947459086993971","0.954861111111111","0.0451388888888889","0.0525409130060293"
"26","26","Bird","Aves","53974","5708","5998","0.951650550183395","0.96223870532704","0.0377612946729602","0.0483494498166055"
"27","27","Empty","","128025","13373","14155","0.944754503708937","0.887568859096038","0.112431140903962","0.0552454962910632"
"20","",NA,"","1766377","191862","196206","0.977860004281215","0.977860004281215","",""
