"","class_ID","class_name","scientific_name","number_of_training_images","num_correct","num_photos_this_spp_at_this_Site_in_test","recall","precision","false_positive_rate","false_negative_rate"
"3","3","Canidae","Canidae","355","37","40","0.925","0.973684210526316","0.0263157894736842","0.075"
"6","6","Corvid","Corvidae","650","67","73","0.917808219178082","0.985294117647059","0.0147058823529412","0.0821917808219178"
"8","8","Turkey","Meleagris gallopavo","8","9","10","0.9","1","0","0.1"
"9","9","Opossum","Didelphis virginiana","277","29","31","0.935483870967742","0.935483870967742","0.0645161290322581","0.0645161290322581"
"11","11","Human","Homo sapiens","5068","542","556","0.974820143884892","0.990859232175503","0.00914076782449726","0.0251798561151079"
"16","16","Rodent","Rodentia","368","14","41","0.341463414634146","0.583333333333333","0.416666666666667","0.658536585365854"
"19","19","Raccoon","Procyon lotor","41","5","5","1","1","0","0"
"21","21","Squirrel","Sciurus spp.","167","18","19","0.947368421052632","0.857142857142857","0.142857142857143","0.0526315789473684"
"22","22","Wild pig","Sus scrofa","133543","14718","14839","0.99184581171238","0.990644140809046","0.00935585919095376","0.00815418828762046"
"24","24","Black Bear","Ursus americanus","53735","5755","5964","0.96495640509725","0.991557546519642","0.00844245348035837","0.0350435949027498"
"26","26","Bird","Aves","274","29","31","0.935483870967742","0.743589743589744","0.256410256410256","0.0645161290322581"
"27","27","Empty","","157343","17286","17482","0.988788468138657","0.979487760652765","0.0205122393472348","0.0112115318613431"
"13","",NA,"","351829","38509","39091","0.985111662531017","0.985111662531017","",""
