"","class_ID","class_name","scientific_name","number_of_training_images","num_correct","num_photos_this_spp_at_this_Site_in_test","recall","precision","false_positive_rate","false_negative_rate"
"3","3","Canidae","Canidae","524","47","59","0.796610169491525","0.94","0.06","0.203389830508475"
"6","6","Corvid","Corvidae","2381","209","265","0.788679245283019","0.720689655172414","0.279310344827586","0.211320754716981"
"7","7","Armadillo","Dasypus novemcinctus","56","4","7","0.571428571428571","0.8","0.2","0.428571428571429"
"8","8","Turkey","Meleagris gallopavo","634","45","71","0.633802816901408","0.633802816901408","0.366197183098592","0.366197183098592"
"9","9","Opossum","Didelphis virginiana","161","12","18","0.666666666666667","0.75","0.25","0.333333333333333"
"12","12","Rabbits","Leporidae","211","17","24","0.708333333333333","0.894736842105263","0.105263157894737","0.291666666666667"
"13","13","Bobcat","Lynx rufus","0","7","9","0.777777777777778","1","0","0.222222222222222"
"18","18","White-tailed deer","Odocoileus virginianus","12238","1084","1359","0.797645327446652","0.784938450398262","0.215061549601738","0.202354672553348"
"19","19","Raccoon","Procyon lotor","8827","846","980","0.863265306122449","0.776146788990826","0.223853211009174","0.136734693877551"
"21","21","Squirrel","Sciurus spp.","350","24","39","0.615384615384615","0.615384615384615","0.384615384615385","0.384615384615385"
"22","22","Wild pig","Sus scrofa","27980","3056","3104","0.984536082474227","0.986124556308487","0.0138754436915134","0.0154639175257732"
"23","23","Fox","Vulpes vulpes and Urocyon Cinereoargenteus","0","4","5","0.8","1","0","0.2"
"26","26","Bird","Aves","224","22","25","0.88","0.758620689655172","0.241379310344828","0.12"
"27","27","Empty","","60807","6058","6722","0.901219875037191","0.919690299073934","0.0803097009260665","0.0987801249628087"
"15","",NA,"","114393","11435","12687","0.901316308031844","0.901316308031844","",""
